validation_season,classifier_weight,poisson_weight,accuracy,macro_f1,log_loss,brier_score,ece,draw_recall,draw_prediction_rate,actual_draw_rate,mean_draw_probability
2018,0.7000000000000001,0.29999999999999993,0.5842105263157895,0.4500241905305196,0.9113920896624225,0.5345439893582817,0.04085885204998814,0.056338028169014086,0.021052631578947368,0.1868421052631579,0.24881898754240783
2018,0.75,0.25,0.5868421052631579,0.4589238251460473,0.9127501792086542,0.5353059929093904,0.04601490901056982,0.07042253521126761,0.02631578947368421,0.1868421052631579,0.2509555409908071
2018,0.8,0.19999999999999996,0.5868421052631579,0.4591823431082908,0.9142072758849358,0.5361224145102171,0.04425333535099246,0.07042253521126761,0.02894736842105263,0.1868421052631579,0.2530920944392064
2018,0.8500000000000001,0.1499999999999999,0.5868421052631579,0.4648030425333185,0.9157651008251086,0.5369932541607619,0.04980077144402761,0.08450704225352113,0.031578947368421054,0.1868421052631579,0.2552286478876056
2018,0.9,0.09999999999999998,0.5789473684210527,0.4584844610698107,0.9174256927638192,0.5379185118610247,0.05019696832571715,0.08450704225352113,0.034210526315789476,0.1868421052631579,0.25736520133600477
2018,0.9500000000000001,0.04999999999999993,0.5736842105263158,0.45532186528864277,0.9191914478623627,0.5388981876110054,0.057456205083160565,0.08450704225352113,0.039473684210526314,0.1868421052631579,0.25950175478440407
2018,1.0,0.0,0.5710526315789474,0.4579690990905944,0.9210651708216717,0.5399322814107042,0.06158397624500172,0.09859154929577464,0.05,0.1868421052631579,0.2616383082328033
2019,0.0,1.0,0.5473684210526316,0.4033088478591755,0.9768648702338435,0.5786890206380214,0.04436695569534526,0.0,0.0,0.24210526315789474,0.22333362583144842
2019,0.05,0.95,0.5447368421052632,0.40098351940457205,0.9760382489050062,0.5783034648577791,0.03784252424312522,0.0,0.0,0.24210526315789474,0.22213751864082937
2019,0.1,0.9,0.5394736842105263,0.39736615710409634,0.9752903059474546,0.5779613766733432,0.028195961113835512,0.0,0.0,0.24210526315789474,0.22094141145021035
2019,0.15000000000000002,0.85,0.5421052631578948,0.3999722626724915,0.9746195303887165,0.5776627560847141,0.034925614434235745,0.0,0.0,0.24210526315789474,0.21974530425959132
2019,0.2,0.8,0.5421052631578948,0.3996889170093852,0.9740247831317753,0.5774076030918917,0.0374768220866461,0.0,0.0,0.24210526315789474,0.21854919706897227
2019,0.25,0.75,0.5421052631578948,0.4004621423976263,0.9735052443205461,0.5771959176948759,0.043696490017331384,0.0,0.0,0.24210526315789474,0.2173530898783532
2019,0.30000000000000004,0.7,0.5421052631578948,0.4004621423976263,0.9730603749402519,0.5770276998936668,0.04896102508506381,0.0,0.0,0.24210526315789474,0.2161569826877342
2019,0.35000000000000003,0.6499999999999999,0.5394736842105263,0.3978820318024107,0.9726898890277961,0.5769029496882643,0.039020580527637114,0.0,0.0,0.24210526315789474,0.21496087549711512
2019,0.4,0.6,0.5394736842105263,0.3981598650216176,0.972393734047128,0.5768216670786686,0.04494272648158394,0.0,0.0,0.24210526315789474,0.2137647683064961
2019,0.45,0.55,0.5394736842105263,0.3981598650216176,0.9721720777742215,0.5767838520648795,0.032919673463577145,0.0,0.0,0.24210526315789474,0.21256866111587705
2019,0.5,0.5,0.5368421052631579,0.39634946475260224,0.9720253005839712,0.576789504646897,0.031939868699137064,0.0,0.0,0.24210526315789474,0.21137255392525803
2019,0.55,0.44999999999999996,0.5342105263157895,0.3945409429280397,0.971953992427766,0.5768386248247213,0.03902088999904116,0.0,0.0,0.24210526315789474,0.21017644673463895
2019,0.6000000000000001,0.3999999999999999,0.5342105263157895,0.3942738276579365,0.9719589540936376,0.5769312125983522,0.042989562884852915,0.0,0.0,0.24210526315789474,0.20898033954401993
2019,0.65,0.35,0.5289473684210526,0.3914231782610405,0.9720412025896988,0.5770672679677897,0.04048216912813833,0.0,0.002631578947368421,0.24210526315789474,0.2077842323534009
2019,0.7000000000000001,0.29999999999999993,0.5263157894736842,0.390633690411545,0.9722019807146652,0.5772467909330341,0.04272751257285554,0.0,0.005263157894736842,0.24210526315789474,0.20658812516278183
